군·구,동·읍·면,세대수 (세대),등록인구 (명),등록인구_남(명),등록인구_여(명),한국인 (명),한국인_남(명),한국인_여(명),외국인 (명),외국인_남(명),외국인_여(명),세대당 인구 (명),65세이상고령자 (명),평균연령 (세),인구밀도 (명/㎢),면적 (㎢),주소,고령자_비율,위도,경도
수성구,중동,6557.0,13172.0,6522.0,6650.0,13084.0,6490.0,6594.0,88.0,32.0,56.0,2.0,2406.0,44.5,14475.0,0.91,대구광역시 수성구 중동,0.1826601882781658,35.8473943465578,128.615078532263
수성구,상동,7588.0,15246.0,7325.0,7921.0,15097.0,7262.0,7835.0,149.0,63.0,86.0,1.99,3788.0,48.5,11463.0,1.33,대구광역시 수성구 상동,0.24845861209497574,35.8321136243906,128.615414999436
수성구,파동,6036.0,13346.0,6357.0,6989.0,13307.0,6342.0,6965.0,39.0,15.0,24.0,2.2,3332.0,47.6,2293.0,5.82,대구광역시 수성구 파동,0.24966282032069534,35.8133790825309,128.617402945559
수성구,두산동,7307.0,14596.0,7093.0,7503.0,14443.0,7022.0,7421.0,153.0,71.0,82.0,1.98,2303.0,43.9,7409.0,1.97,대구광역시 수성구 두산동,0.1577829542340367,35.829426086156,128.6206587993
수성구,지산1동,10215.0,20248.0,9625.0,10623.0,20143.0,9591.0,10552.0,105.0,34.0,71.0,1.97,5143.0,49.4,7670.0,2.64,대구광역시 수성구 지산1동,0.2540003951007507,35.8248829872972,128.63697817647
수성구,지산2동,8421.0,19082.0,8962.0,10120.0,19042.0,8947.0,10095.0,40.0,15.0,25.0,2.26,4321.0,47.4,9686.0,1.97,대구광역시 수성구 지산2동,0.22644376899696048,35.8231195634012,128.628014834644
수성구,범물1동,5799.0,10540.0,4753.0,5787.0,10512.0,4739.0,5773.0,28.0,14.0,14.0,1.81,3941.0,55.2,1938.0,5.44,대구광역시 수성구 범물1동,0.3739089184060721,35.8177997100035,128.645971661807
수성구,범물2동,6565.0,16310.0,7854.0,8456.0,16281.0,7845.0,8436.0,29.0,9.0,20.0,2.48,3193.0,45.3,7000.0,2.33,대구광역시 수성구 범물2동,0.19576946658491723,35.8175281038879,128.643430172542
수성구,고산1동,11820.0,31255.0,15097.0,16158.0,31180.0,15064.0,16116.0,75.0,33.0,42.0,2.64,4522.0,42.5,3556.0,8.79,대구광역시 수성구 고산1동,0.14468085106382977,35.8370965341278,128.712398706332
수성구,고산2동,10761.0,27113.0,13339.0,13774.0,27034.0,13305.0,13729.0,79.0,34.0,45.0,2.51,4622.0,43.7,1108.0,24.47,대구광역시 수성구 고산2동,0.17047172942868735,35.8434288781047,128.695172075418
수성구,고산3동,12252.0,31091.0,14910.0,16181.0,31028.0,14887.0,16141.0,63.0,23.0,40.0,2.53,5148.0,44.5,6206.0,5.01,대구광역시 수성구 고산3동,0.16557846322086778,35.8441106106139,128.70659511925
달서구,성당동,10446.0,21964.0,10632.0,11332.0,21827.0,10572.0,11255.0,137.0,60.0,77.0,2.09,5159.0,47.7,11037.0,1.99,대구광역시 달서구 성당동,0.2348843562192679,35.8429586241896,128.549551926913
달서구,두류1·2동,8634.0,14925.0,7279.0,7646.0,14792.0,7245.0,7547.0,133.0,34.0,99.0,1.71,3597.0,48.3,11222.0,1.33,대구광역시 달서구 두류1·2동,0.24100502512562813,35.8537184722863,128.555402199963
달서구,두류3동,4408.0,8771.0,4208.0,4563.0,8709.0,4188.0,4521.0,62.0,20.0,42.0,1.98,2199.0,48.2,7831.0,1.12,대구광역시 달서구 두류3동,0.2507125755330065,35.8536995367807,128.555472673151
달서구,본리동,7997.0,19848.0,9753.0,10095.0,19461.0,9545.0,9916.0,387.0,208.0,179.0,2.43,2967.0,43.0,18209.0,1.09,대구광역시 달서구 본리동,0.14948609431680773,35.8409762939101,128.543094223454
달서구,감삼동,12676.0,29666.0,14440.0,15226.0,29513.0,14376.0,15137.0,153.0,64.0,89.0,2.33,4228.0,42.4,25141.0,1.18,대구광역시 달서구 감삼동,0.14252005663048609,35.8510162146676,128.542168596711
달서구,죽전동,6783.0,12887.0,6340.0,6547.0,12740.0,6271.0,6469.0,147.0,69.0,78.0,1.88,2534.0,47.2,17415.0,0.74,대구광역시 달서구 죽전동,0.1966322650733297,35.8575671590001,128.538970127094
달서구,장기동,7067.0,16553.0,8217.0,8336.0,16089.0,7858.0,8231.0,464.0,359.0,105.0,2.28,2760.0,44.9,5323.0,3.11,대구광역시 달서구 장기동,0.16673714734489217,35.8433493267252,128.530035888982
