동이름,사고건수,최소년도,최대년도,몇년치,평균 사건 건수
부계면,2,2023,2023,1,2.0
진인동,8,2020,2023,4,2.0
동성로2가,8,2020,2023,4,2.0
매여동,2,2020,2020,1,2.0
남성로,2,2022,2022,1,2.0
사복동,6,2020,2022,3,2.0
하서동,6,2020,2022,3,2.0
인교동,4,2020,2021,2,2.0
수동,2,2020,2020,1,2.0
조야동,8,2020,2023,4,2.0
서문로2가,2,2023,2023,1,2.0
상서동,2,2021,2021,1,2.0
백안동,7,2020,2023,4,1.75
용수동,5,2021,2023,3,1.6666666666666667
도남동,5,2021,2023,3,1.6666666666666667
동일동,5,2021,2023,3,1.6666666666666667
동문동,3,2020,2021,2,1.5
도학동,6,2020,2023,4,1.5
북성로2가,5,2020,2023,4,1.25
동성로1가,5,2020,2023,4,1.25
계산동1가,1,2022,2022,1,1.0
남일동,3,2021,2023,3,1.0
미곡동,1,2023,2023,1,1.0
덕곡동,4,2020,2023,4,1.0
달성군,1,2020,2020,1,1.0
능성동,3,2021,2023,3,1.0
내동,2,2021,2022,2,1.0
서성로2가,1,2020,2020,1,1.0
사일동,1,2023,2023,1,1.0
서문로1가,1,2022,2022,1,1.0
서야동,1,2022,2022,1,1.0
신무동,2,2022,2023,2,1.0
시장북로,4,2020,2023,4,1.0
서성로1가,1,2023,2023,1,1.0
전동,1,2021,2021,1,1.0
의흥면,1,2023,2023,1,1.0
화전동,3,2020,2022,3,1.0
신용동,3,2020,2023,4,0.75
