,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
0,가창면,3.4545454545454546,1.004711751662971,0.051829268292682924,3.2056541019955653,3.044623059866962,4.998614190687362,2.350332594235033,4.530210643015521
1,가천동,3.454054054054054,0.9945945945945946,0.03783783783783784,3.32972972972973,2.9945945945945946,5.0,2.0,3.32972972972973
2,각산동,2.025503355704698,1.2590604026845638,0.2563758389261745,3.3932885906040267,0.4738255033557047,4.795973154362416,1.7986577181208054,3.916778523489933
3,갈산동,2.9169054441260744,1.0095510983763132,0.21298949379178606,7.478510028653295,1.443170964660936,4.997134670487106,1.5377268385864375,2.853868194842407
4,감삼동,3.74791215589236,1.111660995978967,0.1772347664707702,2.6541911537271883,2.7247138880296937,4.953603464274668,1.0,2.6851221775440766
5,검단동,3.2167774086378738,1.0249169435215948,0.132890365448505,5.690199335548173,2.026578073089701,4.999169435215947,1.6370431893687707,3.3995016611295683
6,검사동,3.689873417721519,1.1075949367088607,0.14082278481012658,2.9074367088607596,2.699367088607595,4.986550632911392,1.2151898734177216,2.8069620253164556
7,계산동1가,4.216216216216216,1.0810810810810811,0.3783783783783784,5.027027027027027,1.8108108108108107,5.0,1.0,1.5135135135135136
8,계산동2가,4.313953488372093,1.127906976744186,0.32558139534883723,4.290697674418604,2.9302325581395348,4.941860465116279,1.0,1.9534883720930232
9,고모동,3.2282608695652173,0.9891304347826086,0.03260869565217391,3.4239130434782608,2.864130434782609,4.994565217391305,1.9021739130434783,3.391304347826087
10,고성동1가,2.577319587628866,1.824742268041237,0.30927835051546393,2.865979381443299,1.7731958762886597,4.587628865979381,1.0,3.8350515463917527
11,고성동2가,4.04296875,1.046875,0.1171875,3.234375,3.05078125,5.0,1.0,2.75
12,고성동3가,3.8401937046004844,1.1113801452784504,0.2009685230024213,3.6150121065375305,2.3002421307506054,4.937046004842615,1.062953995157385,2.389830508474576
13,공평동,4.179190751445087,1.2080924855491328,0.5606936416184971,4.803468208092486,1.4219653179190752,4.994219653179191,1.0,1.9248554913294798
14,관음동,3.5775988286969254,1.0790629575402635,0.1171303074670571,2.465592972181552,2.8038067349926794,5.0,1.3257686676427525,3.0307467057101025
15,괴전동,2.9640522875816995,1.1764705882352942,0.19934640522875818,3.415032679738562,1.869281045751634,4.849673202614379,2.4084967320261437,3.5
16,교동,4.28140703517588,1.0251256281407035,0.10050251256281408,4.447236180904523,2.7336683417085426,4.994974874371859,1.0,1.4673366834170853
17,구암동,3.11781206171108,1.1654978962131837,0.1661991584852735,2.590462833099579,1.5568022440392706,4.978962131837307,1.5182328190743337,2.524544179523142
18,구지면,2.942384887839433,1.042266824085006,0.03471074380165289,4.554191263282172,2.535064935064935,4.968358913813459,2.1737898465171193,3.8382526564344746
19,국우동,2.6844380403458215,1.2146974063400577,0.138328530259366,2.5922190201729105,0.9279538904899135,4.939481268011527,1.5677233429394812,3.1671469740634004
20,군위읍,3.351119481062984,1.0027202343586525,0.01987863569784474,3.5635070098346935,2.991002301736765,4.998116760828625,2.9594057334170327,4.278091650973007
21,금강동,3.4926108374384235,0.9655172413793104,0.009852216748768473,3.0886699507389164,2.689655172413793,5.0,2.9261083743842367,3.87192118226601
22,금호동,2.0930232558139537,1.0199335548172757,0.036544850498338874,3.2093023255813953,1.541528239202658,5.0,1.0996677740863787,3.176079734219269
23,남산동,3.8845152895250488,1.1284970722186076,0.23064411190631098,3.187052700065062,2.734547820429408,4.929733246584255,1.0,2.1877033181522445
24,남성로,4.350515463917525,1.1030927835051547,0.3402061855670103,4.804123711340206,2.2061855670103094,5.0,1.0,1.731958762886598
25,남일동,4.315789473684211,1.263157894736842,0.4868421052631579,4.9605263157894735,2.25,4.973684210526316,1.0,1.9736842105263157
26,내곡동,3.8059701492537314,1.0,0.05970149253731343,2.8656716417910446,3.5970149253731343,5.0,3.0,4.059701492537314
27,내당동,4.07350963693411,1.0748543254146123,0.20125504258180188,2.7196324518153294,2.8007619901389513,4.994397131331241,1.0015688032272523,2.35992828328104
28,내동,3.7142857142857144,1.0,0.008928571428571428,3.419642857142857,3.8392857142857144,5.0,2.982142857142857,4.4375
