"동·읍·면별(1)",동·읍·면별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"동·읍·면별(1)",동·읍·면별(2),세대수 (세대),등록인구 (명),등록인구 (명),등록인구 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대당 인구 (명),65세이상고령자 (명),평균연령 (세),인구밀도 (명/㎢),면적 (㎢)
"동·읍·면별(1)",동·읍·면별(2),소계,소계,남,여,소계,남,여,소계,남,여,소계,소계,소계,소계,소계
"서구",평리1동,3807,7094,3547,3547,7035,3527,3508,59,20,39,1.85,2089,52.3,18190,0.39
"서구",평리2동,3450,7364,3558,3806,7330,3547,3783,34,11,23,2.12,1804,48.5,25393,0.29
"서구",평리3동,6076,12082,6035,6047,12013,6014,5999,69,21,48,1.98,2804,48.2,15691,0.77
"서구",평리4동,8126,16525,8187,8338,16436,8158,8278,89,29,60,2.02,3734,48.1,22637,0.73
"서구",평리5동,2685,6063,3050,3013,6032,3034,2998,31,16,15,2.25,841,40.7,14436,0.42
"서구",평리6동,2740,5601,2969,2632,5491,2889,2602,110,80,30,2.00,1135,47.1,7673,0.73
"서구",상중이동,8542,18825,9418,9407,18527,9223,9304,298,195,103,2.17,4251,48.0,2806,6.71
"서구",원대동,5106,9936,5016,4920,9845,4974,4871,91,42,49,1.93,2434,49.1,16560,0.60
"남구",소계,75887,141178,67397,73781,139187,66512,72675,1991,885,1106,1.83,36561,49.0,8100,17.43
"남구",이천동,6027,12937,6089,6848,12795,6020,6775,142,69,73,2.12,3328,48.5,11869,1.09
"남구",봉덕1동,4971,8574,4133,4441,8418,4062,4356,156,71,85,1.69,2442,51.3,17498,0.49
"남구",봉덕2동,5678,13017,6145,6872,12871,6074,6797,146,71,75,2.27,3106,46.7,4254,3.06
"남구",봉덕3동,8020,15525,7339,8186,15305,7232,8073,220,107,113,1.91,4181,49.6,5771,2.69
"남구",대명1동,5509,10390,5076,5314,10223,4990,5233,167,86,81,1.86,2597,48.9,23089,0.45
"남구",대명2동,7178,12208,5743,6465,12057,5681,6376,151,62,89,1.68,2606,45.5,14708,0.83
"남구",대명3동,6024,10070,4955,5115,9922,4895,5027,148,60,88,1.65,2925,51.2,10713,0.94
"남구",대명4동,5664,10149,4882,5267,10082,4862,5220,67,20,47,1.78,2926,50.8,14294,0.71
"남구",대명5동,3327,6030,2847,3183,5560,2621,2939,470,226,244,1.67,1384,47.8,6554,0.92
"남구",대명6동,5979,11249,5363,5886,11179,5338,5841,70,25,45,1.87,2466,46.9,7499,1.50
"남구",대명9동,8055,14489,7061,7428,14347,7011,7336,142,50,92,1.78,3537,48.7,4287,3.38
"남구",대명10동,4917,8575,4025,4550,8523,4009,4514,52,16,36,1.73,2540,51.2,17150,0.50
"남구",대명11동,4538,7965,3739,4226,7905,3717,4188,60,22,38,1.74,2523,52.7,9155,0.87
"북구",소계,191349,425441,210951,214490,419624,208178,211446,5817,2773,3044,2.19,73675,44.4,4528,93.95
"북구",고성동,3500,7836,3846,3990,7809,3836,3973,27,10,17,2.23,1206,41.0,14785,0.53
"북구",칠성동,10139,22313,10649,11664,22179,10597,11582,134,52,82,2.19,3966,43.4,16777,1.33
"북구",침산1동,1958,3922,2124,1798,3756,1986,1770,166,138,28,1.92,1110,52.5,3163,1.24
"북구",침산2동,6825,17915,8620,9295,17855,8600,9255,60,20,40,2.62,2547,41.2,18096,0.99
"북구",침산3동,7384,18791,8989,9802,18710,8958,9752,81,31,50,2.53,3564,44.8,17562,1.07
"북구",노원동,5421,10875,5732,5143,10520,5463,5057,355,269,86,1.94,2883,50.9,3566,3.05
"북구",산격1동,4947,8384,4147,4237,8317,4119,4198,67,28,39,1.68,3022,55.6,9213,0.91
"북구",산격2동,4610,10167,4979,5188,10082,4934,5148,85,45,40,2.19,2304,48.2,4440,2.29
"북구",산격3동,6046,10151,5263,4888,8750,4628,4122,1401,635,766,1.45,1839,44.4,12689,0.80
"북구",산격4동,4332,7946,4155,3791,7789,4084,3705,157,71,86,1.80,2216,50.5,10738,0.74
"북구",복현1동,4938,7562,4161,3401,7077,3959,3118,485,202,283,1.43,1100,42.1,19390,0.39
"북구",복현2동,12505,30232,14921,15311,29789,14719,15070,443,202,241,2.38,4652,42.9,16254,1.86
"북구",대현동,8716,16969,8555,8414,16407,8233,8174,562,322,240,1.88,4003,47.4,13909,1.22
"북구",검단동,3097,6140,3090,3050,5943,2938,3005,197,152,45,1.92,1819,52.4,1612,3.81
"북구",무태조야동,14913,34751,17729,17022,34525,17634,16891,226,95,131,2.32,5382,43.3,1495,23.25
"북구",관문동,14281,34410,17022,17388,34265,16980,17285,145,42,103,2.40,5150,42.3,2352,14.63
"북구",태전1동,11026,22481,11201,11280,22080,11007,11073,401,194,207,2.00,4115,45.3,8326,2.70
"북구",태전2동,10706,23556,11439,12117,23220,11294,11926,336,145,191,2.17,4289,45.4,13775,1.71
"북구",구암동,13256,32978,16046,16932,32871,16030,16841,107,16,91,2.48,4286,43.0,7478,4.41
"북구",관음동,7234,15268,7686,7582,15185,7663,7522,83,23,60,2.10,3268,48.1,5089,3.00
"북구",읍내동,11419,25295,12505,12790,25196,12477,12719,99,28,71,2.21,4620,45.7,4430,5.71
"북구",동천동,10489,26499,12824,13675,26416,12802,13614,83,22,61,2.52,2927,41.6,23660,1.12
"북구",국우동,13607,31000,15268,15732,30883,15237,15646,117,31,86,2.27,3407,40.5,1803,17.19
"수성구",소계,171939,409035,197001,212034,407331,196277,211054,1704,724,980,2.37,75007,44.4,5344,76.54
"수성구",범어1동,6216,16087,7628,8459,16025,7603,8422,62,25,37,2.58,2403,41.7,14895,1.08
"수성구",범어2동,6770,14822,7103,7719,14714,7050,7664,108,53,55,2.17,2434,43.2,13117,1.13
"수성구",범어3동,6656,17666,8466,9200,17567,8419,9148,99,47,52,2.64,1817,38.8,30459,0.58
"수성구",범어4동,6618,19614,9686,9928,19573,9670,9903,41,16,25,2.96,2008,38.2,18161,1.08
"수성구",만촌1동,8739,21451,10419,11032,21387,10398,10989,64,21,43,2.45,4496,45.8,7448,2.88
"수성구",만촌2동,4872,10403,5168,5235,10299,5127,5172,104,41,63,2.11,2145,46.2,6422,1.62
"수성구",만촌3동,7431,20864,10872,9992,20718,10789,9929,146,83,63,2.79,2415,40.0,11721,1.78
"수성구",수성1가동,7126,17312,7878,9434,17272,7860,9412,40,18,22,2.42,3807,46.1,29848,0.58
