Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89336,대구광역시 달성군 논공읍 남리 577-91번지,1,0,3.2,경량철골구조,경량철골구조,제1종근린생활시설,0,2005,35.7255071923507,128.448979952546
89337,대구광역시 달성군 논공읍 남리 577-93번지,1,0,5.5,경량철골구조,샌드위치판넬,제1종근린생활시설,0,2019,35.7252092968067,128.448879734213
89338,대구광역시 달성군 논공읍 남리 577-112번지,3,0,10.35,철근콘크리트구조,철근콘크리트구조,단독주택,0,2009,35.7261284041613,128.447929797791
89339,대구광역시 달성군 논공읍 남리 577-134번지,4,0,13.55,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7255484156596,128.448325558235
89340,대구광역시 달성군 논공읍 남리 577-145번지,2,0,7.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2010,35.724808251921,128.449128203273
89341,대구광역시 달성군 논공읍 남리 577-155번지,4,0,13.15,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7255815244024,128.448120486615
89342,대구광역시 달성군 논공읍 남리 577-156번지,4,0,11.52,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7251060529505,128.450148684767
89343,대구광역시 달성군 논공읍 남리 577-157번지,4,0,13.2,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7251437782222,128.44958319627
89344,대구광역시 달성군 논공읍 남리 577-158번지,4,0,13.0,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7250366319503,128.448774822108
89345,대구광역시 달성군 논공읍 남리 577-162번지,4,0,12.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7252005568991,128.449014294772
89346,대구광역시 달성군 논공읍 남리 577-165번지,4,0,12.75,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7248035828717,128.448685283782
89347,대구광역시 달성군 논공읍 남리 577-166번지,4,0,13.15,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7248744470346,128.44883985194
89348,대구광역시 달성군 논공읍 남리 577-168번지,4,0,13.15,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7249510953832,128.448978058324
89349,대구광역시 달성군 논공읍 남리 577-169번지,4,0,12.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7250138866139,128.449121981805
89350,대구광역시 달성군 논공읍 남리 577-171번지,4,0,12.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7251986832137,128.4491923019
89351,대구광역시 달성군 논공읍 남리 577-172번지,4,0,12.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7250794551593,128.449259766946
89352,대구광역시 달성군 논공읍 남리 577-177번지,4,0,13.1,철근콘크리트구조,철근콘크리트구조,단독주택,0,2016,35.7258085735953,128.448670991405
89353,대구광역시 달성군 논공읍 남리 577-178번지,2,0,9.6,일반철골구조,일반철골구조,제1종근린생활시설,0,2021,35.7258587810042,128.448804741801
89354,대구광역시 달성군 논공읍 남리 578-1번지,0,0,0.0,블록구조,블럭조,제1종근린생활시설,0,1981,35.7259649677129,128.446173377471
89355,대구광역시 달성군 논공읍 남리 578-4번지,2,0,8.7,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1993,35.7261847131685,128.447212012755
89356,대구광역시 달성군 논공읍 남리 578-9번지,1,0,0.0,블록구조,블럭조,제1종근린생활시설,0,1990,35.7262843685396,128.446741243226
89357,대구광역시 달성군 논공읍 남리 578-15번지,1,0,4.0,벽돌구조,벽돌구조,공동주택,0,2004,35.7255240972603,128.447523211408
89358,대구광역시 달성군 논공읍 남리 578-15번지,15,0,41.15,철근콘크리트구조,철근콘크리트조,공동주택,0,2004,35.7255240972603,128.447523211408
89359,대구광역시 달성군 논공읍 남리 578-15번지,0,1,3.5,철근콘크리트구조,철근콘크리트조,공동주택,0,2004,35.7255240972603,128.447523211408
89360,대구광역시 달성군 논공읍 남리 578-15번지,15,0,41.15,철근콘크리트구조,철근콘크리트조,공동주택,0,2004,35.7255240972603,128.447523211408
89361,대구광역시 달성군 논공읍 남리 587번지,2,0,4.1,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1995,35.724957832799,128.445578721561
89362,대구광역시 달성군 논공읍 남리 615-5번지,22,1,61.7,철근콘크리트구조,철근콘크리트벽식조,공동주택,1,1996,35.7238299994519,128.448830440963
89363,대구광역시 달성군 논공읍 남리 615-34번지,3,0,10.65,철근콘크리트구조,철근콘크리트조,공동주택,0,1996,35.7240968939786,128.449170132897
89364,대구광역시 달성군 논공읍 남리 615-34번지,3,0,10.65,철근콘크리트구조,철근콘크리트,공동주택,0,1995,35.7240968939786,128.449170132897
89365,대구광역시 달성군 논공읍 남리 615-34번지,3,0,10.65,철근콘크리트구조,철근콘크리트조,공동주택,0,1996,35.7240968939786,128.449170132897
89366,대구광역시 달성군 논공읍 남리 616-1번지,1,0,6.7,경량철골구조,경량철골구조,제2종근린생활시설,0,2018,35.7239864956623,128.449454696412
89367,대구광역시 달성군 논공읍 남리 616-2번지,1,0,0.0,블록구조,세멘부록조,단독주택,0,1982,35.7239762425464,128.449580165263
89368,대구광역시 달성군 논공읍 남리 617-8번지,3,0,12.7,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,2013,35.7237165574615,128.449891308442
89369,대구광역시 달성군 논공읍 남리 617-10번지,1,0,4.1,경량철골구조,경량철골구조,창고시설,0,2014,35.7239066548337,128.449850769004
89370,대구광역시 달성군 논공읍 남리 617-12번지,2,0,5.33,일반철골구조,일반철골구조,창고시설,0,2012,35.7237325983598,128.449487450061
89371,대구광역시 달성군 논공읍 남리 617-12번지,1,0,6.45,일반철골구조,일반철골구조,창고시설,0,2012,35.7237325983598,128.449487450061
89372,대구광역시 달성군 논공읍 남리 617-13번지,4,0,12.35,철근콘크리트구조,철근콘크리트구조,단독주택,0,2009,35.7238027573997,128.449416224065
89373,대구광역시 달성군 논공읍 남리 617-43번지,2,0,6.9,일반철골구조,일반철골구조,제1종근린생활시설,0,2006,35.7238925464507,128.450266156663
89374,대구광역시 달성군 논공읍 남리 617-86번지,4,0,14.1,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7239114450014,128.449685084695
89375,대구광역시 달성군 논공읍 남리 635번지,18,1,49.4,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,2,1997,35.7230905523606,128.449790226975
89376,대구광역시 달성군 논공읍 남리 635번지,18,1,49.4,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,3,1997,35.7230905523606,128.449790226975
89377,대구광역시 달성군 논공읍 남리 635번지,18,1,49.4,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,3,1997,35.7230905523606,128.449790226975
89378,대구광역시 달성군 논공읍 남리 635번지,18,1,49.4,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,2,1997,35.7230905523606,128.449790226975
