순번,관리부서,주소,위치 상세설명
90,신천119안전센터,대구광역시 동구 신암동 603-451,오동나무통닭옆
91,신천119안전센터,대구광역시 동구 신암동 601-21,신암탕앞
92,신천119안전센터,대구광역시 동구 신암동 130-109,미미비디오앞
93,신천119안전센터,대구광역시 동구 신암동 680-18,탑마트앞
94,신천119안전센터,대구광역시 동구 효목동 543-1,삼일상가북서편
95,신천119안전센터,대구광역시 동구 효목동 138-1,철원축산앞
96,신천119안전센터,대구광역시 동구 신천동 685-8,동부도서관 신천분관 인도
97,신천119안전센터,대구광역시 동구 신천동 278,한일장식앞
98,신천119안전센터,대구광역시 동구 신천동 415-1,대백마트 앞
99,신천119안전센터,대구광역시 동구 효목동 545,동구축산물도매센터앞
100,신천119안전센터,대구광역시 동구 신천동 497-40,효신슈퍼
101,동촌119안전센터,대구광역시 동구 방촌동 721-2,광진상사앞
102,동촌119안전센터,대구광역시 동구 방촌동 1067-2,간다라방촌점앞
103,동촌119안전센터,대구광역시 동구 신평동 756-8,그린빌라 앞
104,동촌119안전센터,대구광역시 동구 입석동 862-9,용광빌라 A동 앞
105,동촌119안전센터,대구광역시 동구 검사동 743-5,두레마을빌라 맞은편
106,율하119안전센터,대구광역시 동구 율하동 896-7,도라지 부업센터 앞
107,안심119안전센터,대구광역시 동구 내곡동 181,농산물간이집하장 북편 3M
108,불로119안전센터,대구광역시 동구 봉무동 789,위남경로당북쪽벽
109,불로119안전센터,대구광역시 동구 지저동 694-13,윤진세탁소 옆
110,불로119안전센터,대구광역시 동구 지저동 671-11,공항시장 입구
111,불로119안전센터,대구광역시 동구 지저동 671-14,공항시장내 관리사무소 서편
112,불로119안전센터,대구광역시 동구 불로동 449-1,불로할인마트앞
113,공산119안전센터,대구광역시 동구 능성동 613-15,삼영식당 앞
114,공산119안전센터,대구광역시 동구 미곡동 776,팔공화훼앞
115,평리119안전센터,대구광역시 서구 평리동 1539-15,중리시장 내 어장수산
116,평리119안전센터,대구광역시 서구 평리동 1536-2,중리시장건물남편
117,평리119안전센터,대구광역시 서구 평리동 606-7,이현시장 내 K마트 북편
118,평리119안전센터,대구광역시 서구 평리동 1048-3,재건떡방아간 앞
119,평리119안전센터,대구광역시 서구 비산동 1025-10,인지문구 앞
120,평리119안전센터,대구광역시 서구 비산동 1260-2,만평시장 내 대영종합장식 앞
121,평리119안전센터,대구광역시 서구 평리동 1085-1,잉꼬미용실 앞
122,평리119안전센터,대구광역시 서구 평리동 675-16,대평리시장 내 대백마트 북편 옆
123,이현119안전센터,대구광역시 서구 상리동 149-1,가르뱅이로 21길 24주택
124,이현119안전센터,대구광역시 서구 중리동 1136-4,명우통상 정문북편
125,내당119안전센터,대구광역시 서구 내당동 968-32,새길시장지하입구대성재단앞
126,내당119안전센터,대구광역시 서구 내당동 1006-189,팔도슈퍼앞구현:수선집
127,내당119안전센터,대구광역시 서구 내당동 1018-5,새롬 커텐 앞
128,내당119안전센터,대구광역시 서구 평리동 1205,신평리시장2층계단 입구옆
129,내당119안전센터,대구광역시 서구 평리동 1435-4,중평시장앞
130,비산119안전센터,대구광역시 서구 비산동 404-7,달성공원 뒷담 최신세탁소
131,비산119안전센터,대구광역시 서구 원대동3가 1434-29,원대신시장내 성운건강원 옆
132,비산119안전센터,대구광역시 서구 비산동 434,서부시장내 극동화장품앞
133,비산119안전센터,대구광역시 서구 비산동 171-40,대성빌라 앞
134,비산119안전센터,대구광역시 서구 비산동 115-3,심인당 동편 골목안
135,비산119안전센터,대구광역시 서구 비산동 569-5,천냥하우스 동편
136,비산119안전센터,대구광역시 서구 원대동3가 1447,파로마가구 앞
