대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 군위군 효령면 금매리 274번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1316705078771,128.618205451428
대구광역시 군위군 효령면 금매리 274-1번지,1,0,0.0,블록구조,시멘트블록조,창고시설,0,1987,36.1314956800011,128.61810644332
대구광역시 군위군 효령면 금매리 275번지,1,0,0.0,일반목구조,목조,단독주택,0,1955,36.1316250571367,128.618054670288
대구광역시 군위군 효령면 금매리 276번지,1,0,0.0,일반목구조,목조,단독주택,0,1975,36.1316334889228,128.617870782698
대구광역시 군위군 효령면 금매리 277번지,1,0,4.5,철근콘크리트구조,철근콘크리트조,단독주택,0,2007,36.1316001384243,128.617651380205
대구광역시 군위군 효령면 금매리 277번지,1,0,0.0,블록구조,시멘트블럭조,창고시설,0,nan,36.1316001384243,128.617651380205
대구광역시 군위군 효령면 금매리 278-1번지,1,0,3.4,철근콘크리트구조,철근콘크리트조,단독주택,0,2001,36.1315567985403,128.617430995301
대구광역시 군위군 효령면 금매리 294-1번지,1,0,5.64,벽돌구조,벽돌구조,단독주택,0,2017,36.1309670846969,128.618580452952
대구광역시 군위군 효령면 금매리 294-5번지,2,0,9.428,철근콘크리트구조,철근콘크리트구조,단독주택,0,2022,36.1306292453212,128.618334915997
대구광역시 군위군 효령면 금매리 305번지,1,0,0.0,강파이프구조,"파이프조, 목조트러스",동물및식물관련시설,0,1992,36.1313912913545,128.619722518298
대구광역시 군위군 효령면 금매리 311-1번지,1,0,5.2,강파이프구조,강파이프조,동물및식물관련시설,0,2011,36.1314359721737,128.621168592337
대구광역시 군위군 효령면 금매리 332-2번지,1,0,0.0,일반목구조,목조,종교시설,0,1940,36.1297467176083,128.618493962968
대구광역시 군위군 효령면 금매리 342-1번지,1,0,4.5,기타강구조,샌드위치판넬,단독주택,0,2005,36.1286815428118,128.618345794521
대구광역시 군위군 효령면 금매리 342-5번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,2006,36.1284959675763,128.618441952599
대구광역시 군위군 효령면 금매리 342-5번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,2006,36.1284959675763,128.618441952599
대구광역시 군위군 효령면 금매리 384번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1978,,
대구광역시 군위군 효령면 금매리 397-1번지,1,0,3.1,기타구조,철판조,위험물저장및처리시설,0,2008,36.1270692081348,128.61897169189
대구광역시 군위군 효령면 금매리 397-1번지,1,0,3.6,경량철골구조,판넬조,제2종근린생활시설,0,2008,36.1270692081348,128.61897169189
대구광역시 군위군 효령면 금매리 404번지,1,0,3.0,기타강구조,기타강구조,창고시설,0,2016,36.1241658416976,128.620957526841
대구광역시 군위군 효령면 금매리 404번지,1,0,4.7,강파이프구조,강파이프구조,창고시설,0,2016,36.1241658416976,128.620957526841
대구광역시 군위군 효령면 금매리 408-7번지,1,0,0.0,경량철골구조,경량철골조,공장,0,1998,36.1235545682346,128.618689695495
대구광역시 군위군 효령면 금매리 408-12번지,1,0,3.0,블록구조,"파이프조, 블록조",동물및식물관련시설,0,1996,36.1227763821815,128.619595582189
대구광역시 군위군 효령면 금매리 408-12번지,1,0,3.0,블록구조,"파이프조, 블록조",동물및식물관련시설,0,1996,36.1227763821815,128.619595582189
대구광역시 군위군 효령면 금매리 409-7번지,1,0,6.3,경량철골구조,경량철골조,동물및식물관련시설,0,2012,36.1211710701129,128.618261908876
대구광역시 군위군 효령면 금매리 412-3번지,1,0,5.8,벽돌구조,벽돌조,단독주택,0,1997,36.1191927202989,128.617886445619
대구광역시 군위군 효령면 금매리 418-2번지,1,0,3.3,강파이프구조,강파이프구조,동물및식물관련시설,0,2021,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,0.0,경량철골구조,경량파이프,동물및식물관련시설,0,1992,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,0.0,경량철골구조,경량파이프,동물및식물관련시설,0,1992,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.5,일반철골구조,일반철골구조,동물및식물관련시설,0,2017,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,3.5,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.8,강파이프구조,강파이프구조,동물및식물관련시설,0,2021,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.4,경량철골구조,경량철골조,동물및식물관련시설,0,1996,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.4,강파이프구조,강파이프구조,동물및식물관련시설,0,1996,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.4,강파이프구조,경량철파이프조,동물및식물관련시설,0,1996,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,5.4,일반철골구조,철골조,동물및식물관련시설,0,1999,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,0.0,경량철골구조,경량파이프,동물및식물관련시설,0,1992,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 418-2번지,1,0,3.5,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1202257319394,128.617293790334
대구광역시 군위군 효령면 금매리 475번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,nan,,
대구광역시 군위군 효령면 금매리 475-5번지,1,0,0.0,블록구조,블록조,동물및식물관련시설,0,1991,36.1228036816734,128.616374275468
대구광역시 군위군 효령면 금매리 475-5번지,1,0,0.0,블록구조,블록조,창고시설,0,1991,36.1228036816734,128.616374275468
대구광역시 군위군 효령면 금매리 475-5번지,1,0,0.0,블록구조,블록조,단독주택,0,1991,36.1228036816734,128.616374275468
대구광역시 군위군 효령면 금매리 475-5번지,1,0,0.0,일반목구조,블록조,동물및식물관련시설,0,1991,36.1228036816734,128.616374275468
대구광역시 군위군 효령면 금매리 477-1번지,1,0,4.7,경량철골구조,"강파이프조,경량철골구조",동물및식물관련시설,0,2005,36.1232259731314,128.616338395777
대구광역시 군위군 효령면 금매리 521-1번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1995,36.1265271830117,128.616404201942
대구광역시 군위군 효령면 금매리 592-2번지,1,0,5.2,경량철골구조,경량철골구조,단독주택,0,2014,36.1282938751265,128.615850953703
대구광역시 군위군 효령면 금매리 627번지,1,0,3.0,시멘트블럭조,시멘트블럭조,동물및식물관련시설,0,2018,36.1308146856488,128.61299224171
대구광역시 군위군 효령면 금매리 627번지,1,0,7.3,일반철골구조,철골조,동물및식물관련시설,0,1999,36.1308146856488,128.61299224171
대구광역시 군위군 효령면 금매리 627번지,1,0,4.5,블록구조,시멘트블록조,동물및식물관련시설,0,1992,36.1308146856488,128.61299224171
대구광역시 군위군 효령면 금매리 627번지,1,0,5.4,일반철골구조,일반철골구조,동물및식물관련시설,0,2019,36.1308146856488,128.61299224171
대구광역시 군위군 효령면 금매리 627번지,1,0,6.0,강파이프구조,철파이프조,동물및식물관련시설,0,2018,36.1308146856488,128.61299224171
대구광역시 군위군 효령면 금매리 632번지,2,0,0.0,철근콘크리트구조,철근콘크리트조,공장,0,1992,36.1338335210387,128.611951526723
대구광역시 군위군 효령면 금매리 632번지,1,0,0.0,철근콘크리트구조,철근콘크리트조,창고시설,0,1992,36.1338335210387,128.611951526723
대구광역시 군위군 효령면 금매리 632번지,1,0,0.0,철근콘크리트구조,철근콘크리트조,공장,0,1992,36.1338335210387,128.611951526723
대구광역시 군위군 효령면 금매리 632-3번지,2,0,0.0,일반철골구조,철골조,공장,0,1995,36.1330533070053,128.612730697174
대구광역시 군위군 효령면 금매리 633-29번지,1,0,5.9,경량철골구조,경량철골조,창고시설,0,1997,36.1333031629393,128.613287449575
대구광역시 군위군 효령면 금매리 642번지,1,0,0.0,기타조적구조,흙벽돌조,단독주택,0,1941,,
대구광역시 군위군 효령면 금매리 642-10번지,1,0,0.0,기타조적구조,,단독주택,0,1950,,
대구광역시 군위군 효령면 금매리 716번지,1,0,4.5,기타강구조,샌드위치판넬,제2종근린생활시설,0,2005,36.1341124954867,128.615596243034
대구광역시 군위군 효령면 금매리 718번지,1,0,0.0,일반목구조,목조,종교시설,0,1940,36.1345399753662,128.615569793875
대구광역시 군위군 효령면 금매리 737-1번지,1,0,5.5,철근콘크리트구조,철근콘크리트구조,단독주택,0,2013,36.1355356629977,128.61406866057
대구광역시 군위군 효령면 금매리 749번지,1,0,3.3,기타강구조,샌드위치패널조,창고시설,0,2007,36.1355215734689,128.611990614452
대구광역시 군위군 효령면 금매리 749번지,1,0,5.2,일반철골구조,일반철골조,창고시설,0,2007,36.1355215734689,128.611990614452
대구광역시 군위군 효령면 금매리 749번지,1,0,2.2,기타강구조,샌드위치패널조,창고시설,0,2007,36.1355215734689,128.611990614452
대구광역시 군위군 효령면 금매리 749번지,1,0,0.0,경량철골구조,"경량철골조, 시멘트벽돌조",공장,0,1991,36.1355215734689,128.611990614452
대구광역시 군위군 효령면 금매리 750번지,1,0,0.0,일반목구조,목조,단독주택,0,1965,,
대구광역시 군위군 효령면 금매리 751번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,36.1356796633372,128.612262344797
대구광역시 군위군 효령면 금매리 752번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,,
대구광역시 군위군 효령면 금매리 754번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1359133092117,128.612403651375
대구광역시 군위군 효령면 금매리 759번지,1,0,0.0,일반목구조,목조,단독주택,0,1957,36.135761869367,128.613417883479
대구광역시 군위군 효령면 금매리 761번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,36.1358259563505,128.612981736376
대구광역시 군위군 효령면 금매리 762-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1359007209985,128.612856627942
대구광역시 군위군 효령면 금매리 763번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.135952023783,128.612606843923
대구광역시 군위군 효령면 금매리 766번지,1,0,0.0,강파이프구조,파이프조,동물및식물관련시설,0,1993,36.136119801103,128.612045288652
대구광역시 군위군 효령면 금매리 767번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1359451749978,128.611763554358
대구광역시 군위군 효령면 금매리 768번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,36.1362072810535,128.611778802738
대구광역시 군위군 효령면 금매리 769번지,2,0,8.15,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1998,36.1365818197687,128.611769134737
대구광역시 군위군 효령면 금매리 769-1번지,1,0,0.0,블록구조,시멘트블록조,제2종근린생활시설,0,1950,36.1364042473316,128.611913804128
대구광역시 군위군 효령면 금매리 770-1번지,1,0,0.0,경량철골구조,샌드위치판넬,단독주택,0,1993,36.1370094495037,128.611898857807
대구광역시 군위군 효령면 금매리 776번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1376695540798,128.61188203525
대구광역시 군위군 효령면 금매리 778번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1994,36.1379480619126,128.611877068548
대구광역시 군위군 효령면 금매리 780번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1381045363806,128.611733297849
대구광역시 군위군 효령면 금매리 783번지,1,0,5.1,경량철골구조,경량철골조,단독주택,0,2012,36.1381282323735,128.612242241347
대구광역시 군위군 효령면 금매리 785번지,1,0,4.45,벽돌구조,벽돌조,단독주택,0,2013,36.1379721440995,128.612210052828
대구광역시 군위군 효령면 금매리 785번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1379721440995,128.612210052828
대구광역시 군위군 효령면 금매리 789번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,1996,36.1381905405838,128.61270753949
대구광역시 군위군 효령면 금매리 792번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1998,36.1383519677236,128.612564093586
대구광역시 군위군 효령면 금매리 793번지,1,0,0.0,일반목구조,목조,단독주택,0,1980,36.1382642324331,128.612401106047
대구광역시 군위군 효령면 금매리 794번지,1,0,3.2,벽돌구조,시멘트벽돌조,단독주택,0,1940,36.1384718484671,128.612220278384
대구광역시 군위군 효령면 금매리 797번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1386237530638,128.612462787249
대구광역시 군위군 효령면 금매리 799번지,1,0,6.8,경량철골구조,경량철골구조,단독주택,0,2018,36.1386823674099,128.613001554932
대구광역시 군위군 효령면 금매리 801번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.138575227738,128.612707082102
대구광역시 군위군 효령면 금매리 814번지,1,0,3.5,벽돌구조,시멘트벽돌조,단독주택,0,2000,36.1389648123676,128.613493583452
대구광역시 군위군 효령면 금매리 817번지,1,0,7.35,경량철골구조,경량철골구조,제1종근린생활시설,0,2020,36.138832543416,128.612984299937
대구광역시 군위군 효령면 금매리 817번지,1,0,3.75,경량철골구조,경량철골구조,제1종근린생활시설,0,2020,36.138832543416,128.612984299937
대구광역시 군위군 효령면 금매리 950-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1978,36.1390004341038,128.606461127546
대구광역시 군위군 효령면 금매리 981-2번지,1,0,4.1,벽돌구조,시멘트벽돌조,단독주택,0,1997,36.1357235832679,128.609962418197
대구광역시 군위군 효령면 금매리 992-2번지,1,0,4.95,경량철골구조,경량철골구조,단독주택,0,1996,36.1353232550604,128.611232949725
대구광역시 군위군 효령면 금매리 992-2번지,1,0,7.05,경량철골구조,경량철골구조,창고시설,0,1996,36.1353232550604,128.611232949725
대구광역시 군위군 효령면 금매리 995-4번지,1,0,5.3,경량철골구조,경량철골구조,동물및식물관련시설,0,2018,36.136783200609,128.606398922546
대구광역시 군위군 효령면 금매리 995-4번지,1,0,5.6,경량철골구조,"시멘트블록조,경량철골구조",동물및식물관련시설,0,1992,36.136783200609,128.606398922546
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,일반철골구조,철골조,동물및식물관련시설,0,1992,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,1993,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,5.68,일반철골구조,철골조,동물및식물관련시설,0,2020,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,1993,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1992,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,블록구조,시멘트블록조,동물및식물관련시설,0,1992,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,0.0,일반철골구조,철골조,동물및식물관련시설,0,1992,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,4.07,강파이프구조,강파이프구조,동물및식물관련시설,0,2020,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-23번지,1,0,1.8,일반철골구조,철골조,동물및식물관련시설,0,1999,36.1360101106156,128.607146773323
대구광역시 군위군 효령면 금매리 995-24번지,1,0,6.95,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,36.1357938941953,128.607545941282
대구광역시 군위군 효령면 금매리 1002-5번지,1,0,0.0,일반목구조,목조,단독주택,0,nan,36.13557311771,128.609190070498
대구광역시 군위군 효령면 금매리 1013-2번지,1,0,0.0,일반목구조,목조,제2종근린생활시설,0,1953,36.1354537069993,128.613015440131
대구광역시 군위군 효령면 금매리 1016-1번지,1,0,0.0,기타강구조,샌드위치판넬조,단독주택,0,1994,36.1364086251781,128.61059061884
대구광역시 군위군 효령면 금매리 1017번지,1,0,5.65,경량철골구조,경량철골구조,단독주택,0,2018,36.1363838718875,128.610910155997
대구광역시 군위군 효령면 금매리 1018번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1365043191593,128.610731545648
대구광역시 군위군 효령면 금매리 1019번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1365705587321,128.610509835518
대구광역시 군위군 효령면 금매리 1020번지,1,0,0.0,벽돌구조,벽돌조,단독주택,0,1991,36.1367145537205,128.610543439116
대구광역시 군위군 효령면 금매리 1021번지,1,0,0.0,일반목구조,목조,단독주택,0,nan,36.1368216713324,128.6107394775
대구광역시 군위군 효령면 금매리 1022번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1995,36.1366044020681,128.61083423723
대구광역시 군위군 효령면 금매리 1023번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1990,36.1365405958111,128.610988899932
대구광역시 군위군 효령면 금매리 1026번지,1,0,0.0,일반목구조,목조,단독주택,0,1957,36.1368623069196,128.611047911436
대구광역시 군위군 효령면 금매리 1027번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1368973750628,128.611247698609
대구광역시 군위군 효령면 금매리 1027번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1368973750628,128.611247698609
대구광역시 군위군 효령면 금매리 1027번지,1,0,0.0,일반목구조,목조,단독주택,0,1975,36.1368973750628,128.611247698609
대구광역시 군위군 효령면 금매리 1028번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1371108259698,128.611075099646
대구광역시 군위군 효령면 금매리 1029번지,1,0,0.0,일반목구조,목조,단독주택,0,1970,36.1370226185575,128.610866671538
대구광역시 군위군 효령면 금매리 1030번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1372909648377,128.611020905862
대구광역시 군위군 효령면 금매리 1035번지,1,0,0.0,일반목구조,목조,제2종근린생활시설,0,1940,36.1377604962971,128.611137263612
대구광역시 군위군 효령면 금매리 1041번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1981,36.1376381321205,128.611625664897
대구광역시 군위군 효령면 금매리 1042번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,36.1375255191145,128.611697457812
대구광역시 군위군 효령면 금매리 1043번지,1,0,0.0,경량철골구조,조립식,단독주택,0,1992,36.1374541024515,128.611500258062
대구광역시 군위군 효령면 금매리 1044번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.1372853732294,128.611416378687
대구광역시 군위군 효령면 금매리 1046번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,36.1370878675422,128.611354906494
대구광역시 군위군 효령면 금매리 1048번지,1,0,0.0,일반목구조,목조,단독주택,0,1949,36.1370906063624,128.611626796077
대구광역시 군위군 효령면 금매리 1049번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1994,36.1369685678498,128.611434783106
대구광역시 군위군 효령면 금매리 1050번지,1,0,0.0,벽돌구조,시멘트벽돌조,창고시설,0,1974,36.1367335334296,128.611557282975
대구광역시 군위군 효령면 금매리 1051번지,1,0,0.0,벽돌구조,연화벽돌조,단독주택,0,1975,36.1363993148425,128.61148357232
대구광역시 군위군 효령면 금매리 1054-1번지,1,0,5.0,경량철골구조,경량철골구조,단독주택,0,2015,36.1357150415031,128.611669199975
대구광역시 군위군 효령면 금매리 1107번지,1,0,0.0,경량철골구조,경량철골조,동물및식물관련시설,0,1995,36.1329526069536,128.607352345128
대구광역시 군위군 효령면 금매리 1123번지,1,0,6.4,강파이프구조,강파이프구조,동물및식물관련시설,0,2021,36.1326077983571,128.610253333517
대구광역시 군위군 효령면 금매리 1123번지,1,0,5.9,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1326077983571,128.610253333517
대구광역시 군위군 효령면 금매리 1123번지,1,0,6.2,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1326077983571,128.610253333517
대구광역시 군위군 효령면 금매리 1123번지,1,0,4.3,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1326077983571,128.610253333517
대구광역시 군위군 효령면 금매리 1123번지,1,0,3.5,경량철골구조,경량철골구조,동물및식물관련시설,0,2021,36.1326077983571,128.610253333517
대구광역시 군위군 효령면 금매리 1259-1번지,1,0,4.2,기타강구조,샌드위치판넬조,단독주택,0,2007,36.1383118701926,128.604090639353
대구광역시 군위군 효령면 금매리 1259-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1962,36.1378065615503,128.605177694705
대구광역시 군위군 효령면 금매리 1259-12번지,1,0,5.93,경량철골구조,경량철골구조,단독주택,0,2017,36.1377418608413,128.605023184063
대구광역시 군위군 효령면 금매리 1272번지,2,0,7.3,경량철골구조,"일반철골조,경량철골조",단독주택,0,2015,36.1338084363593,128.614542599662
대구광역시 군위군 효령면 금매리 1276-1번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1974,36.1394284086785,128.603412604908
대구광역시 군위군 효령면 금매리 1279-5번지,1,0,0.0,일반목구조,목조,단독주택,0,1945,36.1381882958913,128.60488663952
대구광역시 군위군 효령면 금매리 1279-29번지,2,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1990,36.1382308746583,128.604654550652
대구광역시 군위군 효령면 금매리 1279-35번지,1,0,3.5,경량철골구조,경량철골구조,창고시설,0,2021,36.1381510189092,128.605059291845
대구광역시 군위군 효령면 금매리 1279-35번지,1,0,5.6,강파이프구조,강파이프구조,창고시설,0,2021,36.1381510189092,128.605059291845
대구광역시 군위군 효령면 금매리 1279-35번지,2,0,5.47,트러스목구조,트러스목구조,단독주택,0,2021,36.1381510189092,128.605059291845
대구광역시 군위군 효령면 금매리 1309-4번지,1,0,0.0,강파이프구조,쇠파이프,동물및식물관련시설,0,1993,,
대구광역시 군위군 효령면 금매리 1310번지,1,0,5.45,경량철골구조,경량철골구조,창고시설,0,2017,36.1422750857034,128.596736905176
대구광역시 군위군 효령면 금매리 1310번지,1,0,5.45,경량철골구조,경량철골구조,창고시설,0,2017,36.1422750857034,128.596736905176
대구광역시 군위군 효령면 금매리 1312-2번지,1,0,0.0,블록구조,시멘트블록조,동물및식물관련시설,0,1982,36.1422802788343,128.596563700561
대구광역시 군위군 효령면 금매리 1312-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1971,36.1415334379937,128.595989534085
대구광역시 군위군 효령면 금매리 1323-2번지,1,0,0.0,블록구조,블럭조,창고시설,0,nan,,
