대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 달서구 두류동 804-42번지,2,1,7.5,벽돌구조,시멘벽돌조,단독주택,0,1989,35.8579074757899,128.572284360305
대구광역시 달서구 두류동 804-43번지,2,1,0.0,벽돌구조,벽돌조,단독주택,0,1981,35.8577945761783,128.572131802815
대구광역시 달서구 두류동 804-44번지,0,0,0.0,벽돌구조,세멘트벽돌조,제1종근린생활시설,0,1987,35.8577692719467,128.572302552491
대구광역시 달서구 두류동 804-45번지,2,1,8.85,벽돌구조,"세멘벽돌조, 철근콘크리트조",단독주택,0,1985,35.8576356130675,128.572138736905
대구광역시 달서구 두류동 804-46번지,2,1,7.8,벽돌구조,"철근콘크리트조, 조적조",단독주택,0,1996,35.8576383509838,128.571943299071
대구광역시 달서구 두류동 804-47번지,2,0,8.6,벽돌구조,시멘트벽돌조,단독주택,0,1990,35.8577470864813,128.571932051826
대구광역시 달서구 두류동 804-48번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1996,35.8578673652747,128.571920146914
대구광역시 달서구 두류동 804-49번지,2,0,5.6,블록구조,시멘트블록조,단독주택,0,1963,35.8579798368197,128.571912626427
대구광역시 달서구 두류동 804-50번지,2,0,8.55,벽돌구조,시멘트벽돌조,단독주택,0,1991,35.8580879677379,128.571899374604
대구광역시 달서구 두류동 804-51번지,2,1,9.9,벽돌구조,"철근콘크리트조, 벽돌조",단독주택,0,1991,35.8582134495009,128.571875506229
대구광역시 달서구 두류동 804-52번지,1,0,0.0,블록구조,세멘부록조,단독주택,0,1964,35.8582877551676,128.571823395433
대구광역시 달서구 두류동 804-53번지,2,0,0.0,벽돌구조,세멘벽돌조,단독주택,0,1987,35.8583541431844,128.571680798175
대구광역시 달서구 두류동 804-54번지,3,0,9.65,철근콘크리트구조,철근콘크리트구조,단독주택,0,2003,35.8583360564063,128.571520370973
대구광역시 달서구 두류동 804-55번지,4,0,12.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2008,35.8583553215321,128.571370311939
대구광역시 달서구 두류동 804-56번지,2,1,6.6,벽돌구조,시멘트벽돌조,단독주택,0,1983,35.8581953822429,128.571382984603
대구광역시 달서구 두류동 804-57번지,2,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1987,35.8581856603698,128.571519947934
대구광역시 달서구 두류동 804-58번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1990,35.85815427665,128.571645745814
대구광역시 달서구 두류동 804-59번지,2,1,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1988,35.8581115269954,128.571744862295
대구광역시 달서구 두류동 804-60번지,1,0,0.0,벽돌구조,시멘트브록조,단독주택,0,1963,35.8579712858629,128.571760358475
대구광역시 달서구 두류동 804-61번지,1,0,0.0,블록구조,세멘부록조,단독주택,0,1963,35.8578568424452,128.571767065358
대구광역시 달서구 두류동 804-62번지,2,1,7.5,벽돌구조,시멘트벽돌,단독주택,0,1994,35.8577356482652,128.571780059404
대구광역시 달서구 두류동 804-63번지,2,1,8.6,벽돌구조,시멘트벽돌조,단독주택,0,1986,35.8576110248125,128.571793428497
대구광역시 달서구 두류동 804-64번지,2,0,6.4,벽돌구조,시멘트벽돌조,단독주택,0,1983,35.857603613999,128.571602218242
대구광역시 달서구 두류동 804-65번지,2,0,7.1,벽돌구조,시멘트벽돌조,단독주택,0,1991,35.8577124352245,128.571591304319
대구광역시 달서구 두류동 804-66번지,1,0,0.0,블록구조,"시멘부록조, 세멘벽돌조",단독주택,0,1963,35.8578902123342,128.571572121004
대구광역시 달서구 두류동 804-67번지,4,0,13.05,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.8580150109317,128.571483369585
대구광역시 달서구 두류동 804-69번지,2,1,7.5,벽돌구조,시멘벽돌조,단독주택,0,1991,35.8578921524248,128.57142382408
대구광역시 달서구 두류동 804-70번지,2,1,7.9,벽돌구조,시멘벽돌조,단독주택,0,1984,35.8578191438747,128.571431902877
대구광역시 달서구 두류동 804-71번지,2,0,7.3,벽돌구조,시멘벽돌조,단독주택,0,1991,35.8577005667151,128.571444616998
대구광역시 달서구 두류동 804-72번지,2,1,7.9,벽돌구조,시멘벽돌조,단독주택,0,1983,35.8575928222526,128.57145588447
대구광역시 달서구 두류동 804-73번지,2,1,0.0,벽돌구조,세멘벽돌,단독주택,0,1986,35.8574224117269,128.571463036719
대구광역시 달서구 두류동 804-74번지,3,1,10.3,벽돌구조,시멘벽돌조,단독주택,0,1990,35.8574121246314,128.571601869407
대구광역시 달서구 두류동 804-75번지,2,1,7.8,벽돌구조,시멘트벽돌조,단독주택,0,1990,35.857421414748,128.571738985341
대구광역시 달서구 두류동 804-76번지,2,0,8.0,철근콘크리트구조,철골조,단독주택,0,2002,35.857432012635,128.571879448046
대구광역시 달서구 두류동 804-77번지,2,0,7.4,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1992,35.857444422622,128.572026034921
대구광역시 달서구 두류동 804-78번지,2,1,8.8,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8574779094939,128.572173370189
대구광역시 달서구 두류동 804-79번지,2,0,0.0,벽돌구조,연와조,단독주택,0,1976,35.8575428340921,128.572294094951
대구광역시 달서구 두류동 804-80번지,2,1,0.0,벽돌구조,시멘벽돌조,단독주택,0,1979,35.8576219321738,128.57241974917
