대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 군위군 군위읍 블록,1,0,0.0,블록구조,블럭조,단독주택,0,1980,,
대구광역시 군위군 군위읍 동부리 ,1,0,0.0,블록구조,블럭조,단독주택,0,1960,36.2316855139739,128.575548380311
대구광역시 군위군 군위읍 동부리 ,1,0,0.0,블록구조,블럭조,단독주택,0,1970,36.2316855139739,128.575548380311
대구광역시 군위군 군위읍 동부리 ,1,0,0.0,블록구조,블럭조,단독주택,0,1977,36.2316855139739,128.575548380311
대구광역시 군위군 군위읍 동부리 21-3번지,1,0,5.4,경량철골구조,경량철골구조,단독주택,0,2020,36.2384662041237,128.578019681494
대구광역시 군위군 군위읍 동부리 24번지,1,0,5.78,경량철골구조,경량철골구조,단독주택,0,2021,36.2386992465712,128.578093330667
대구광역시 군위군 군위읍 동부리 27번지,1,0,5.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2016,36.2380650779652,128.578719942424
대구광역시 군위군 군위읍 동부리 27-2번지,1,0,4.9,경량철골구조,경량철골구조,창고시설,0,2016,36.2381052794032,128.578138562967
대구광역시 군위군 군위읍 동부리 27-2번지,1,0,4.9,경량철골구조,경량철골구조,창고시설,0,2016,36.2381052794032,128.578138562967
대구광역시 군위군 군위읍 동부리 30번지,1,0,5.6,경량철골구조,경량철골구조,제2종근린생활시설,0,2024,36.2379447200517,128.578424203839
대구광역시 군위군 군위읍 동부리 46번지,1,0,0.0,경량철골구조,조립식판넬,동물및식물관련시설,0,2000,36.2356754170148,128.577466947307
대구광역시 군위군 군위읍 동부리 46번지,1,0,0.0,강파이프구조,철파이프조,동물및식물관련시설,0,2000,36.2356754170148,128.577466947307
대구광역시 군위군 군위읍 동부리 57번지,1,0,0.0,블록구조,블록조,동물및식물관련시설,0,1985,36.234682036163,128.575382611747
대구광역시 군위군 군위읍 동부리 57번지,1,0,0.0,블록구조,블록조,동물및식물관련시설,0,1985,36.234682036163,128.575382611747
대구광역시 군위군 군위읍 동부리 58번지,1,0,5.0,기타조적구조,기타조적조,단독주택,0,2013,36.2354311855881,128.575158392943
대구광역시 군위군 군위읍 동부리 58-2번지,1,0,5.05,경량철골구조,경량철골조,단독주택,0,2011,36.235302267245,128.575395725144
대구광역시 군위군 군위읍 동부리 58-3번지,4,0,12.8,철근콘크리트구조,철근콘크리트조,공동주택,0,1998,36.2351073903392,128.575277138755
대구광역시 군위군 군위읍 동부리 60번지,2,0,6.3,일반목구조,일반목구조/경량철골조,단독주택,0,2024,36.2356716408884,128.575298805093
대구광역시 군위군 군위읍 동부리 76번지,1,0,0.0,기타조적구조,흙벽돌조,단독주택,0,1974,36.2324919799648,128.572625467936
대구광역시 군위군 군위읍 동부리 76번지,1,0,0.0,블록구조,흙벽돌조,창고시설,0,1974,36.2324919799648,128.572625467936
대구광역시 군위군 군위읍 동부리 77번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1998,36.232606316393,128.572516756278
대구광역시 군위군 군위읍 동부리 93번지,1,0,0.0,기타조적구조,토조,동물및식물관련시설,0,1981,36.2351824456287,128.573264641877
대구광역시 군위군 군위읍 동부리 96번지,2,0,8.95,철근콘크리트구조,철근콘크리트조,종교시설,0,2009,36.2346017094579,128.572886288579
대구광역시 군위군 군위읍 동부리 97번지,1,0,0.0,블록구조,블록조,동물및식물관련시설,0,1979,36.2347594958937,128.572570672372
대구광역시 군위군 군위읍 동부리 97번지,1,0,0.0,블록구조,블록조,동물및식물관련시설,0,1979,36.2347594958937,128.572570672372
대구광역시 군위군 군위읍 동부리 98번지,1,0,6.808,일반목구조,일반목구조,제2종근린생활시설,0,2021,36.235246315462,128.572375096959
대구광역시 군위군 군위읍 동부리 99번지,2,0,7.45,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,36.2348998701492,128.572962557917
대구광역시 군위군 군위읍 동부리 100-1번지,1,0,3.2,경량철골구조,조립식판넬,제2종근린생활시설,0,2000,36.2355888687223,128.573426838016
대구광역시 군위군 군위읍 동부리 102번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1984,36.2357877943616,128.573326826075
대구광역시 군위군 군위읍 동부리 102번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1984,36.2357877943616,128.573326826075
대구광역시 군위군 군위읍 동부리 103-2번지,1,0,0.0,강파이프구조,경량철골조,창고시설,0,1998,36.235477929218,128.572523442849
대구광역시 군위군 군위읍 동부리 103-2번지,1,0,0.0,강파이프구조,경량철골조,창고시설,0,1998,36.235477929218,128.572523442849
대구광역시 군위군 군위읍 동부리 103-2번지,1,0,0.0,경량철골구조,경량철골조,제2종근린생활시설,0,1998,36.235477929218,128.572523442849
대구광역시 군위군 군위읍 동부리 103-2번지,1,0,0.0,경량철골구조,경량철골조,단독주택,0,1998,36.235477929218,128.572523442849
대구광역시 군위군 군위읍 동부리 103-6번지,2,0,9.6,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,2002,36.2359068443108,128.573174937479
대구광역시 군위군 군위읍 동부리 105-4번지,1,0,5.1,블록구조,블록구조,단독주택,0,2015,36.2358073495861,128.572291900576
대구광역시 군위군 군위읍 동부리 106-7번지,1,0,4.5,벽돌구조,시멘트벽돌조,단독주택,0,2004,36.2361789778459,128.572228935424
대구광역시 군위군 군위읍 동부리 112-1번지,2,0,0.0,경량철골구조,경량철골조,제2종근린생활시설,0,1992,36.2362477353627,128.57589209474
대구광역시 군위군 군위읍 동부리 113-8번지,1,0,0.0,블록구조,시멘트블록조,창고시설,0,1990,36.2365331781643,128.576762302356
대구광역시 군위군 군위읍 동부리 113-8번지,1,0,0.0,블록구조,시멘트블록조,동물및식물관련시설,0,1992,36.2365331781643,128.576762302356
대구광역시 군위군 군위읍 동부리 113-9번지,1,0,4.5,벽돌구조,시멘트벽돌조,단독주택,0,2007,36.2363705646828,128.576274298007
대구광역시 군위군 군위읍 동부리 113-10번지,1,0,4.0,경량철골구조,경량철골조립식판넬구조,위험물저장및처리시설,0,1997,36.2364542697905,128.576486758882
대구광역시 군위군 군위읍 동부리 151-93번지,1,0,5.4,일반철골구조,철골조,창고시설,0,2000,,
대구광역시 군위군 군위읍 동부리 151-93번지,1,0,5.4,일반철골구조,철골조,창고시설,0,2000,,
대구광역시 군위군 군위읍 동부리 155번지,5,1,28.0,철골철근콘크리트구조,철골철근콘크리트조,문화및집회시설,3,2007,36.2372936890166,128.574882315692
대구광역시 군위군 군위읍 동부리 155번지,4,1,21.41,철근콘크리트구조,"철근콘크리트조,철골조",운동시설,0,2003,36.2372936890166,128.574882315692
대구광역시 군위군 군위읍 동부리 155번지,2,1,14.65,철근콘크리트구조,"철근콘크리트조, 일반철골조",운동시설,0,2012,36.2372936890166,128.574882315692
대구광역시 군위군 군위읍 동부리 155번지,1,0,2.5,철근콘크리트구조,철근콘크리트조,문화및집회시설,0,2007,36.2372936890166,128.574882315692
대구광역시 군위군 군위읍 동부리 167번지,1,0,3.1,기타강구조,콘테이너조,창고시설,0,2012,36.2389238134361,128.573523271171
대구광역시 군위군 군위읍 동부리 167번지,1,0,2.8,기타강구조,콘테이너조,창고시설,0,2010,36.2389238134361,128.573523271171
대구광역시 군위군 군위읍 동부리 168번지,1,0,5.75,경량철골구조,경량철골구조,제1종근린생활시설,0,2014,36.2392227507117,128.573485660104
대구광역시 군위군 군위읍 동부리 172번지,3,1,13.3,철근콘크리트구조,철근콘크리트조,교육연구시설,0,2010,36.2393226715858,128.572513477873
대구광역시 군위군 군위읍 동부리 197번지,1,0,0.0,일반목구조,목조,단독주택,0,1963,36.2386677897221,128.577766118922
대구광역시 군위군 군위읍 동부리 197번지,1,0,0.0,기타조적구조,목조,창고시설,0,1963,36.2386677897221,128.577766118922
대구광역시 군위군 군위읍 동부리 198-1번지,1,0,0.0,블록구조,블럭조,동물및식물관련시설,0,1985,36.238789798315,128.577854888019
대구광역시 군위군 군위읍 동부리 198-1번지,1,0,0.0,블록구조,블럭조,동물및식물관련시설,0,1985,36.238789798315,128.577854888019
대구광역시 군위군 군위읍 동부리 199번지,1,0,0.0,일반목구조,목조,동물및식물관련시설,0,1992,36.2389023422279,128.577697975733
대구광역시 군위군 군위읍 동부리 201번지,1,0,4.8,경량철골구조,경량철골구조,단독주택,0,2021,36.2390010796628,128.577481053286
대구광역시 군위군 군위읍 동부리 217번지,1,0,5.5,철근콘크리트구조,철근콘크리트조,단독주택,0,2009,36.2392982088674,128.573811641439
대구광역시 군위군 군위읍 동부리 217-1번지,1,0,6.25,경량철골구조,경량철골조,제1종근린생활시설,0,2009,36.2392415681549,128.574062116259
대구광역시 군위군 군위읍 동부리 218-2번지,1,0,5.3,벽돌구조,붉은벽돌조,단독주택,0,2005,36.2394491897771,128.573684747373
대구광역시 군위군 군위읍 동부리 218-5번지,2,0,8.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2020,36.2397223349889,128.573484328805
대구광역시 군위군 군위읍 동부리 225번지,4,0,14.8,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2019,36.2409010563759,128.572737537643
대구광역시 군위군 군위읍 동부리 225-2번지,1,0,6.3,경량철골구조,경량철골조,제2종근린생활시설,0,2012,36.2403731297941,128.572982355671
대구광역시 군위군 군위읍 동부리 229번지,2,0,8.82,일반철골구조,일반철골구조,창고시설,0,2022,36.2425986378012,128.57294920178
대구광역시 군위군 군위읍 동부리 229번지,3,0,14.1,일반철골구조,일반철골구조,업무시설,0,1993,36.2425986378012,128.57294920178
대구광역시 군위군 군위읍 동부리 229번지,0,1,18.8,철근콘크리트구조,철골조,업무시설,0,1996,36.2425986378012,128.57294920178
대구광역시 군위군 군위읍 동부리 229번지,1,0,18.8,철근콘크리트구조,철근콘크리트조,분뇨.쓰레기처리시설,0,1993,36.2425986378012,128.57294920178
대구광역시 군위군 군위읍 동부리 235-1번지,2,0,9.8,철근콘크리트구조,철근콘크리트조,제1종근린생활시설,0,2010,36.2413267507379,128.573119933708
대구광역시 군위군 군위읍 동부리 252번지,1,0,8.2,경량철골구조,경량철골구조,창고시설,0,2021,36.2398340576626,128.576510031882
대구광역시 군위군 군위읍 동부리 289번지,1,0,6.0,경량철골구조,경량철골구조,창고시설,0,2020,36.2429230268985,128.572058561534
대구광역시 군위군 군위읍 동부리 289번지,1,0,6.0,경량철골구조,경량철골구조,창고시설,0,2015,36.2429230268985,128.572058561534
대구광역시 군위군 군위읍 동부리 289번지,1,0,7.6,일반철골구조,일반철골조,창고시설,0,2012,36.2429230268985,128.572058561534
대구광역시 군위군 군위읍 동부리 289번지,2,0,9.6,일반철골구조,"일반철골구조,경량철골구조",창고시설,0,2015,36.2429230268985,128.572058561534
대구광역시 군위군 군위읍 동부리 318-2번지,4,0,14.55,일반철골구조,철골조,제2종근린생활시설,0,1997,36.2420408334019,128.568071931889
대구광역시 군위군 군위읍 동부리 318-4번지,1,0,0.0,경량철골구조,경량철골조,제1종근린생활시설,0,1990,36.241902913438,128.568034692817
대구광역시 군위군 군위읍 동부리 321-6번지,1,0,0.0,기타조적구조,토조,단독주택,0,1969,36.2399606328262,128.568341720383
대구광역시 군위군 군위읍 동부리 321-6번지,1,0,0.0,블록구조,토조,제1종근린생활시설,0,1969,36.2399606328262,128.568341720383
대구광역시 군위군 군위읍 동부리 321-7번지,1,0,0.0,블록구조,시멘트블럭조,제2종근린생활시설,0,1975,36.2402013861349,128.568405040456
대구광역시 군위군 군위읍 동부리 321-7번지,1,0,0.0,블록구조,시멘트블럭조,단독주택,0,1975,36.2402013861349,128.568405040456
대구광역시 군위군 군위읍 동부리 321-11번지,3,0,0.0,철근콘크리트구조,"철근콘크리트조,단열판넬",제2종근린생활시설,0,1990,36.2405336441282,128.568485651187
대구광역시 군위군 군위읍 동부리 322-1번지,2,0,9.6,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1984,36.2397117232004,128.568226958717
대구광역시 군위군 군위읍 동부리 322-2번지,1,0,4.8,일반철골구조,일반철골조,제1종근린생활시설,0,2013,36.2394871840695,128.56815717829
대구광역시 군위군 군위읍 동부리 323-2번지,1,0,5.0,경량철골구조,경량철골조,교육연구시설,0,1968,36.2388742882813,128.568952042129
대구광역시 군위군 군위읍 동부리 323-2번지,2,0,7.85,철근콘크리트구조,철근콘크리트조,교육연구시설,0,1968,36.2388742882813,128.568952042129
대구광역시 군위군 군위읍 동부리 323-2번지,1,0,0.0,벽돌구조,철근콘크리트구조,단독주택,0,1968,36.2388742882813,128.568952042129
대구광역시 군위군 군위읍 동부리 323-2번지,1,0,5.5,경량철골구조,경량철골조,교육연구시설,0,1968,36.2388742882813,128.568952042129
대구광역시 군위군 군위읍 동부리 323-2번지,2,0,7.85,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,1968,36.2388742882813,128.568952042129
