대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 남구 대명동 551-8번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1972,35.8323199809312,128.57310248482
대구광역시 남구 대명동 551-9번지,3,0,8.85,철근콘크리트구조,철근콘크리트구조,단독주택,0,2020,35.8327986391194,128.573084379937
대구광역시 남구 대명동 551-10번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1972,35.8323162961033,128.573005361204
대구광역시 남구 대명동 551-11번지,1,0,0.0,블록구조,시멘트블록조,단독주택,0,1985,35.8326438654032,128.573142963423
대구광역시 남구 대명동 551-13번지,2,1,0.0,벽돌구조,세멘벽돌조,단독주택,0,1979,35.8326478253885,128.573046986302
대구광역시 남구 대명동 552-2번지,3,1,9.17,철근콘크리트구조,철근콘크리트구조,공동주택,0,2003,35.8320253015242,128.573185307246
대구광역시 남구 대명동 552-3번지,4,0,13.1,철근콘크리트구조,철근콘크리트구조,공동주택,0,2016,35.8313860993304,128.573193380838
대구광역시 남구 대명동 552-3번지,4,0,13.1,철근콘크리트구조,철근콘크리트구조,공동주택,0,2016,35.8313860993304,128.573193380838
대구광역시 남구 대명동 552-4번지,3,1,0.0,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1996,35.8312916693299,128.573763744008
대구광역시 남구 대명동 552-5번지,2,1,8.63,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",제2종근린생활시설,0,1992,35.8318301296359,128.573369799984
대구광역시 남구 대명동 552-7번지,2,1,0.0,철근콘크리트구조,"세멘블록조, 철근콘크리트조",제2종근린생활시설,0,1970,35.8311060522095,128.57359707488
대구광역시 남구 대명동 552-10번지,4,0,13.45,철근콘크리트구조,철근콘크리트구조,공동주택,0,2016,35.8312560732572,128.573288969877
대구광역시 남구 대명동 552-10번지,4,2,15.7,철근콘크리트구조,철근콘크리트구조,공동주택,0,2016,35.8312560732572,128.573288969877
