Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
65996,대구광역시 달서구 상인동 42번지,20,1,56.3,철근콘크리트구조,철근콘크리트조,공동주택,2,1994,35.8225859044615,128.535373962971
65997,대구광역시 달서구 상인동 42번지,17,1,47.9,철근콘크리트구조,철근콘크리트조,공동주택,2,1994,35.8225859044615,128.535373962971
65998,대구광역시 달서구 상인동 42번지,17,1,47.9,철근콘크리트구조,철근콘크리트조,공동주택,4,1994,35.8225859044615,128.535373962971
65999,대구광역시 달서구 상인동 42번지,24,1,67.5,철근콘크리트구조,철근콘크리트조,공동주택,0,1994,35.8225859044615,128.535373962971
66000,대구광역시 달서구 상인동 42번지,17,1,47.9,철근콘크리트구조,철근콘크리트조,공동주택,2,1994,35.8225859044615,128.535373962971
66001,대구광역시 달서구 상인동 54번지,5,1,19.6,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1995,35.8221621989973,128.534391759631
66002,대구광역시 달서구 상인동 54-2번지,2,0,9.15,일반철골구조,일반철골구조,제2종근린생활시설,0,2014,35.8228682645502,128.533501563326
66003,대구광역시 달서구 상인동 54-3번지,2,0,8.2,철근콘크리트구조,철근콘크리트구조,제1종근린생활시설,0,2014,35.8227353989327,128.533730264967
66004,대구광역시 달서구 상인동 54-4번지,4,0,18.0,철근콘크리트구조,"철근콘크리트구조,일반철골구조",제2종근린생활시설,0,2014,35.8226325492297,128.533859516312
66005,대구광역시 달서구 상인동 54-5번지,3,0,13.7,일반철골구조,일반철골구조,제2종근린생활시설,0,2014,35.8225218228402,128.533998684833
66006,대구광역시 달서구 상인동 54-5번지,2,0,10.5,일반철골구조,일반철골구조,제2종근린생활시설,0,2014,35.8225218228402,128.533998684833
66007,대구광역시 달서구 상인동 70번지,5,1,20.0,철근콘크리트구조,철근콘크리트+철골조,교육연구및복지시설,0,1992,35.8207556246708,128.537399175523
66008,대구광역시 달서구 상인동 70-1번지,6,1,27.3,철근콘크리트구조,철근콘크리트구조,업무시설,0,2014,35.8201009829746,128.537057157062
66009,대구광역시 달서구 상인동 70-2번지,7,1,31.3,철근콘크리트구조,철근콘크리트구조,업무시설,0,2014,35.8198850116119,128.537336135053
66010,대구광역시 달서구 상인동 70-3번지,7,1,31.5,철근콘크리트구조,철근콘크리트구조,업무시설,0,2014,35.8197598708067,128.537657802339
66011,대구광역시 달서구 상인동 72-1번지,20,2,54.5,철근콘크리트구조,철근콘크리트조,공동주택,0,1997,35.8193134009264,128.536145637394
66012,대구광역시 달서구 상인동 72-1번지,1,0,0.0,벽돌구조,벽돌보강,창고시설,0,1979,35.8193134009264,128.536145637394
66013,대구광역시 달서구 상인동 72-3번지,1,0,0.0,일반철골구조,일반철골구조,제1종근린생활시설,0,2007,35.8191394488359,128.537071147116
66014,대구광역시 달서구 상인동 72-3번지,9,1,37.05,철근콘크리트구조,철근콘크리트,제1종근린생활시설,0,2007,35.8191394488359,128.537071147116
66015,대구광역시 달서구 상인동 72-4번지,6,1,24.0,철근콘크리트구조,철근콘크리트조,의료시설,0,1990,35.819121747661,128.536651352124
66016,대구광역시 달서구 상인동 76-10번지,1,0,6.0,경량철골구조,경량철골구조,제2종근린생활시설,0,2006,35.8189048990449,128.536583219806
66017,대구광역시 달서구 상인동 78-1번지,4,0,15.4,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8192597493234,128.535252585054
66018,대구광역시 달서구 상인동 78-5번지,4,0,14.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8193367628303,128.535389386957
66019,대구광역시 달서구 상인동 78-6번지,5,0,14.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8193565298173,128.535612606605
66020,대구광역시 달서구 상인동 78-7번지,4,0,14.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8192151079902,128.53555854325
66021,대구광역시 달서구 상인동 87번지,25,0,69.9,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8202417791231,128.534995656834
