대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 군위군 삼국유사면 양지리 485-1번지,1,0,0.0,일반목구조,목조,제1종근린생활시설,0,1939,,
대구광역시 군위군 삼국유사면 양지리 488번지,1,0,5.2,벽돌구조,시멘트벽돌조,단독주택,0,2004,36.1664969481514,128.827511166557
대구광역시 군위군 삼국유사면 양지리 489번지,1,0,0.0,블록구조,목조,단독주택,0,1920,36.1664668429514,128.827741943202
대구광역시 군위군 삼국유사면 양지리 491번지,1,0,0.0,일반목구조,목조,단독주택,0,1905,36.1663585156185,128.827813992875
대구광역시 군위군 삼국유사면 양지리 492번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,36.1664502819375,128.828077048294
대구광역시 군위군 삼국유사면 양지리 492번지,1,0,4.5,기타강구조,샌드위치판넬,단독주택,0,2005,36.1664502819375,128.828077048294
대구광역시 군위군 삼국유사면 양지리 493번지,1,0,0.0,일반목구조,목조,단독주택,0,1831,36.1662786499749,128.828400104887
대구광역시 군위군 삼국유사면 양지리 787-1번지,1,0,4.955,일반목구조,일반목구조,제2종근린생활시설,0,2015,36.1553798797751,128.818614678263
대구광역시 군위군 삼국유사면 양지리 블록,1,0,0.0,블록구조,시멘트블럭조,창고시설,0,1979,,
대구광역시 군위군 삼국유사면 낙전리 3번지,1,0,4.0,경량철골구조,경량철골구조,창고시설,0,2019,36.2121487108685,128.828966760873
대구광역시 군위군 삼국유사면 낙전리 3번지,1,0,4.15,경량철골구조,경량철골구조,창고시설,0,2019,36.2121487108685,128.828966760873
대구광역시 군위군 삼국유사면 낙전리 36-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.2044441469561,128.828296579366
대구광역시 군위군 삼국유사면 낙전리 38번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.2044442737987,128.82881301271
대구광역시 군위군 삼국유사면 낙전리 40번지,1,0,5.3,경량철골구조,경량철골조,단독주택,0,2008,36.2044984153369,128.829179276289
대구광역시 군위군 삼국유사면 낙전리 41번지,1,0,0.0,일반목구조,목조,단독주택,0,1940,36.2044704843959,128.829408990878
대구광역시 군위군 삼국유사면 낙전리 44번지,1,0,0.0,일반목구조,목조,단독주택,0,1946,36.2043792528902,128.829706496555
대구광역시 군위군 삼국유사면 낙전리 47번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,36.2047605455477,128.829449653053
대구광역시 군위군 삼국유사면 낙전리 47번지,1,0,0.0,기타조적구조,흙벽돌조,단독주택,0,1950,36.2047605455477,128.829449653053
대구광역시 군위군 삼국유사면 낙전리 49번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,36.20568725411,128.829882042459
대구광역시 군위군 삼국유사면 낙전리 60번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.204739804294,128.829910345873
대구광역시 군위군 삼국유사면 낙전리 60번지,1,0,4.5,기타강구조,샌드위치판넬,단독주택,0,2005,36.204739804294,128.829910345873
대구광역시 군위군 삼국유사면 낙전리 62번지,1,0,4.3,경량철골구조,경량철골조,단독주택,0,2008,36.2045982429262,128.830034350779
대구광역시 군위군 삼국유사면 낙전리 196번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.1920435179164,128.826208126248
대구광역시 군위군 삼국유사면 낙전리 198번지,1,0,0.0,기타조적구조,흙벽돌,단독주택,0,1976,36.1918105188594,128.826053535
대구광역시 군위군 삼국유사면 낙전리 199번지,1,0,0.0,기타조적구조,흙벽돌,단독주택,0,1968,36.1918966329005,128.82589001457
대구광역시 군위군 삼국유사면 낙전리 201번지,1,0,3.5,경량철골구조,경량철골구조,창고시설,0,2014,36.1921423548126,128.82599621184
대구광역시 군위군 삼국유사면 낙전리 204-2번지,1,0,4.0,벽돌구조,시멘트벽돌조,단독주택,0,1999,36.1923890813446,128.824222891749
대구광역시 군위군 삼국유사면 낙전리 204-4번지,1,0,0.0,벽돌구조,세멘트벽돌조,단독주택,0,1994,36.192247310678,128.824118666698
대구광역시 군위군 삼국유사면 낙전리 213-1번지,1,0,8.3,일반철골구조,일반철골조,창고시설,0,2008,36.1913194645793,128.824764108718
대구광역시 군위군 삼국유사면 낙전리 244-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.1924656257886,128.823114371874
대구광역시 군위군 삼국유사면 낙전리 246번지,1,0,0.0,일반목구조,목조,단독주택,0,1960,36.1926957196752,128.823158280984
대구광역시 군위군 삼국유사면 낙전리 249-4번지,1,0,0.0,강파이프구조,시멘트벽돌조,창고시설,0,1995,36.1923955001907,128.823411551656
대구광역시 군위군 삼국유사면 낙전리 252-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1949,,
대구광역시 군위군 삼국유사면 낙전리 257번지,1,0,0.0,일반목구조,목조,단독주택,0,1960,36.1940219405644,128.823907051296
대구광역시 군위군 삼국유사면 낙전리 353-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1927,36.2132666779306,128.825626438125
대구광역시 군위군 삼국유사면 낙전리 368-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1926,36.2134460485505,128.827174849668
