Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
246021,대구광역시 수성구 수성동1가 488-2번지,3,0,11.1,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8501437392294,128.611931474485
246022,대구광역시 수성구 수성동1가 489번지,3,0,11.1,철근콘크리트구조,"철근콘크리트, 시멘트벽돌조",단독주택,0,1994.0,35.8500703976528,128.611923902029
246023,대구광역시 수성구 수성동1가 490-1번지,3,0,10.3,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.849925828477,128.611690748222
246024,대구광역시 수성구 수성동1가 491번지,3,0,11.0,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8500693754023,128.611718004704
246025,대구광역시 수성구 수성동1가 492-1번지,4,0,13.0,철근콘크리트구조,철근콘크리트,공동주택,0,1994.0,35.8501889782495,128.611756730776
246026,대구광역시 수성구 수성동1가 493-1번지,5,0,13.9,철근콘크리트구조,철근콘크리트조,공동주택,0,2002.0,35.8504050059785,128.611808698881
246027,대구광역시 수성구 수성동1가 494번지,2,0,0.0,벽돌구조,세멘벽돌,단독주택,0,1979.0,35.8505382683388,128.611870392619
246028,대구광역시 수성구 수성동1가 495번지,2,0,0.0,벽돌구조,시멘벽돌조,단독주택,0,1979.0,35.8506692303444,128.611902043774
246029,대구광역시 수성구 수성동1가 496번지,4,0,12.0,벽돌구조,시멘트벽돌조,공동주택,0,1995.0,35.8504843224,128.611720205271
246030,대구광역시 수성구 수성동1가 497번지,2,0,7.35,벽돌구조,시멘트벽돌조,단독주택,0,1993.0,35.8505049868174,128.611637497634
246031,대구광역시 수성구 수성동1가 498번지,4,1,12.8,철근콘크리트구조,"철근콘크리트, 조적조",단독주택,0,1994.0,35.8505191487406,128.611528978964
246032,대구광역시 수성구 수성동1가 498-1번지,4,1,12.8,철근콘크리트구조,"철근콘크리트조, 시멘벽돌조",단독주택,0,1994.0,35.8504202483286,128.611518897185
246033,대구광역시 수성구 수성동1가 499번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,35.8502559115148,128.61161729223
246034,대구광역시 수성구 수성동1가 499-1번지,2,0,7.7,벽돌구조,시멘트벽돌조,단독주택,0,1988.0,35.8503712464912,128.611651725772
246035,대구광역시 수성구 수성동1가 500번지,2,0,7.8,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8501825818776,128.611628979745
246036,대구광역시 수성구 수성동1가 501번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,35.8502355712773,128.61147431621
246037,대구광역시 수성구 수성동1가 501-2번지,3,0,10.6,벽돌구조,시멘트벽돌조,단독주택,0,1996.0,35.8503008805048,128.611476080692
246038,대구광역시 수성구 수성동1가 502번지,3,0,8.7,철근콘크리트구조,"R.C조, 시멘트벽돌",단독주택,0,1995.0,35.85010327947,128.611514917274
